"global.unique.identifier","last.edited.date","taxonomic.order","category","taxon.concept.id","common.name","scientific.name","subspecies.common.name","subspecies.scientific.name","exotic.code","observation.count","breeding.code","breeding.category","behavior.code","age.sex","country","country.code","state","state.code","county","county.code","iba.code","bcr.code","usfws.code","atlas.block","locality","locality.id","locality.type","observation.date","time.observations.started","observer.id","sampling.event.identifier","protocol.type","protocol.code","project.code","duration.minutes","effort.distance.km","effort.area.ha","number.observers","all.species.reported","group.identifier","has.media","approved","reviewed","reason","trip.comments","species.comments","longitude","latitude","listing.status"
"URN:CornellLabOfOrnithology:EBIRD:OBS59765180","2024-04-18 05:08:11.502588",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2008-08-17","","obsr123041","S4336553","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS708031814","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2008-08-13","","obsr147545","S52495058","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"Historical data imported from AviSys","apparently a fledgling, in crevice of upper Precipice Trail",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS216650561","2021-04-01 06:49:52.016996",6372,"species","avibase-64F4DD81","Razorbill","Alca torda","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP & North East Harbor area","L2411951","P","2008-08-17","","obsr430878","S15589283","Incidental","P20","EBIRD",NA,NA,NA,2,1,"",0,1,0,NA,"","",-68.273136,44.3386074,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS57399312","2019-07-23 16:14:11",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Ship Harbor Trail","L159046","H","2008-09-12","07:00:00","obsr136723","S4157607","Traveling","P22","EBIRD",300,2.414,NA,8,1,"",0,1,0,NA,"","",-68.3256161,44.2316668,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS57318243","2018-08-06 19:46:11",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP - Seawall Area","L596435","P","2008-09-11","","obsr43882","S4151749","Incidental","P20","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"","",-68.3071411,44.2407104,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS57908322","2017-08-16 04:38:59",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","Unknown Sex, Adult (2)","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Bear Brook Trail, Mt. Champlain, ANP","L603628","P","2008-10-11","11:30:00","obsr29626","S4198749","Traveling","P22","EBIRD",150,1.609,NA,1,1,"",0,1,0,NA,"","",-68.1912804,44.3606172,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS77404218","2014-10-08 22:09:21",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Wonderland Trail","L159029","H","2008-10-05","10:30:00","obsr198567","S5510324","Area","P23","EBIRD",90,NA,1.6187,4,1,"G128458",0,1,0,NA,"","",-68.3198708,44.233752,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS431479467","2016-09-22 16:32:32",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Blueberry Hill","L2345007","H","2008-10-03","","obsr252111","S31708178","Historical","P62","EBIRD",NA,NA,NA,2,0,"",0,1,0,NA,"","",-68.0454782,44.3386398,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS57751552","2014-10-08 22:09:21",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Wonderland Trail","L159029","H","2008-10-05","10:30:00","obsr109866","S4184726","Area","P23","EBIRD",90,NA,1.6187,4,1,"G128458",0,1,0,NA,"","",-68.3198708,44.233752,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS57948589","2014-10-08 22:09:21",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","Unknown Sex, Adult (1)","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Wonderland Trail","L159029","H","2008-10-13","10:10:00","obsr29626","S4201275","Traveling","P22","EBIRD",80,1.609,NA,1,1,"",0,1,0,NA,"","",-68.3198708,44.233752,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS390256715","2024-04-23 23:13:29.746624",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"4","","","","Unknown Sex, Immature (3); Unknown Sex, Adult (1)","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Blueberry Hill","L2345007","H","2008-10-03","09:17:00","obsr687218","S28875434","Stationary","P21","EBIRD",263,NA,NA,1,0,"",0,1,0,NA,"Directed monitoring of PEFA migrants and behavior with only anecdotal notes on most other birds. Mostly sunny AM, overcast & rain showers PM, 50s F, steady winds 15-25 mph from SW &#61; headwind for migrants.","Eleven sightings over a 3.5-hour interval, but some were certainly recirculating locally during gusty SW winds. Young PEFAs all were low flyovers at Little Moose Island. One adult PEFA flying higher over The Anvil & Schoodic Head.",-68.0454782,44.3386398,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS101479265","2021-04-01 06:49:52.016996",687,"species","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Schoodic Peninsula","L476611","H","2009-02-07","08:30:00","obsr106420","S7115666","Traveling","P22","EBIRD",450,24.14,NA,3,1,"",0,1,0,NA,"Weather conditions: partly sunny day with temps in the low 30's","1 male at Schoodic Point",-68.0582428,44.3403019,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS1186749104","2021-06-21 03:22:22.589148",687,"species","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Seawall Pond","L1273673","H","2009-04-03","","obsr167644","S90533574","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"","",-68.299427,44.2426166,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS71258624","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-05-19","06:00:00","obsr134557","S5052540","Traveling","P22","EBIRD",660,24.14,NA,1,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS71258302","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-05-18","06:00:00","obsr134557","S5052515","Traveling","P22","EBIRD",660,24.14,NA,1,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS71260718","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-05-20","06:00:00","obsr134557","S5052670","Traveling","P22","EBIRD",660,24.14,NA,1,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS321931750","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-05-18","09:00:00","obsr100163","S23575976","Traveling","P22","EBIRD",240,16.093,NA,4,1,"G1283278",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS71257390","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-05-17","14:00:00","obsr134557","S5052465","Traveling","P22","EBIRD",180,16.093,NA,1,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS446125517","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-05-18","09:00:00","obsr193418","S32779075","Traveling","P22","EBIRD",240,16.093,NA,4,1,"G1283278",0,1,0,NA,"With Mom & Dad","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS223047532","2016-08-23 11:35:11",6339,"species","avibase-2771624B","Atlantic Puffin","Fratercula arctica","","",NA,"15","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Schooner Head Overlook","L1293907","H","2009-06-12","20:00:00","obsr194573","S16114991","Traveling","P22","EBIRD",300,6.437,NA,10,0,"",0,1,0,NA,"","",-68.1772259,44.3396485,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS248959754","2014-04-28 13:31:07",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP Maine","L2812950","P","2009-06-25","09:00:00","obsr416056","S18121748","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,0,NA,"","",-68.2723251,44.3427683,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS71688589","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"3","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-06-12","07:00:00","obsr106378","S5079249","Traveling","P22","EBIRD",1440,32.186,NA,2,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS484500937","2017-04-11 14:17:40",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Precipice Trail Overlook","L1567758","H","2009-06-02","19:00:00","obsr429152","S35877562","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,0,NA,"","",-68.1878144,44.3494526,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS244359863","2014-04-08 03:48:58",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Great Head","L1019000","H","2009-06-25","08:00:00","obsr97286","S17799744","Incidental","P20","EBIRD",NA,NA,NA,4,0,"",0,1,0,NA,"","nesting on a cliff",-68.1741893,44.3289251,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS223047540","2016-08-23 11:35:11",6372,"species","avibase-64F4DD81","Razorbill","Alca torda","","",NA,"5","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Schooner Head Overlook","L1293907","H","2009-06-12","20:00:00","obsr194573","S16114991","Traveling","P22","EBIRD",300,6.437,NA,10,0,"",0,1,0,NA,"","",-68.1772259,44.3396485,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS1022937244","2021-04-01 06:49:52.016996",6339,"species","avibase-2771624B","Atlantic Puffin","Fratercula arctica","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP","L12868737","P","2009-07-10","","obsr1234205","S77061904","Historical","P62","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"","",-68.2357615,44.3401344,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS1485984758","2024-05-31 08:21:22.60591",6339,"species","avibase-2771624B","Atlantic Puffin","Fratercula arctica","","",NA,"20","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3408",NA,NA,"","Frenchman Bay—Egg Rock","L1018954","H","2009-07-15","","obsr58366","S115749090","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"","",-68.139267,44.3527006,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS158971917","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-07-09","","obsr329788","S11173043","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS72535365","2009-10-29 14:16:11",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Mt. Desert Island (Beech Cliffs and Beech Mountain)","L751113","P","2009-07-02","10:00:00","obsr188549","S5151671","Incidental","P20","EBIRD",NA,NA,NA,4,1,"",0,1,0,NA,"","",-68.3402824,44.3172775,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS72412148","2024-04-18 05:15:17.639586",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-07-04","","obsr123041","S5141662","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS72954160","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-07-14","06:00:00","obsr58414","S5183945","Traveling","P22","EBIRD",240,11.265,NA,1,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS448666049","2023-09-24 21:32:35.453588",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Gorham Mountain","L476604","H","2009-07-10","","obsr341460","S32981154","Historical","P62","EBIRD",NA,NA,NA,2,1,"G2074709",0,1,0,NA,"","",-68.1930828,44.328269,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS447680614","2023-09-24 21:32:35.453588",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Gorham Mountain","L476604","H","2009-07-10","","obsr274633","S32904215","Historical","P62","EBIRD",NA,NA,NA,2,1,"G2074709",0,1,0,NA,"","",-68.1930828,44.328269,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS72468429","2009-11-02 21:35:08",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"4","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Mt. Desert Island (Champlain Mountain)","L749945","P","2009-07-01","10:00:00","obsr188549","S5146125","Incidental","P20","EBIRD",NA,NA,NA,4,1,"",0,1,0,NA,"","",-68.1911945,44.3494477,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS72332943","2024-04-18 05:15:17.639586",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2009-07-02","","obsr162331","S5136149","Incidental","P20","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"Woke up and drove to Eagle Lake Carriage Road parking area, didn''t see much.  After breakfast drove to Precipice Cliffs to see Peregrines, then along Park Loop road looking for Guillemots.  Drove to Hunter''s Brook trailhead and hiked to Hunter''s Beach and then up along cliffs.  Lunch at Jordan Pond.  Drive to Sieur de Monts and started hike along Jessup Path.  Ended up on Hemlock Path instead.","Two flying at Precipice Cliffs pointed out by Lora the Ranger",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS72535484","2009-10-29 13:31:51",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Mt. Desert Island (Precipice)","L751119","P","2009-07-04","10:00:00","obsr188549","S5151682","Area","P23","EBIRD",15,NA,0.2023,NA,1,"",0,1,0,NA,"","",-68.1882977,44.3494324,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS146899067","2012-04-03 13:58:43",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","ON","C4","ON","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Arcadia NP: Peregrine Cliffs","L1478889","P","2009-07-11","23:30:00","obsr290321","S10343253","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,NA,"","",-68.2074601,44.3416724,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS2229163529","2024-06-08 19:45:11.359827",6339,"species","avibase-2771624B","Atlantic Puffin","Fratercula arctica","","",NA,"1","","","","","United States","US","Maine","US-ME","Knox","US-ME-013","",NA,NA,"","Isle au Haut","L1477419","H","2009-07-28","","obsr1912860","S180237550","Historical","P62","EBIRD",NA,NA,NA,1,0,"",0,1,0,NA,"","/MC/SR Isle Au Haut, Acadia National Park, Maine",-68.626015,44.0460142,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS73492913","2011-07-21 17:25:44",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Precipice Trail","L476591","H","2009-08-01","08:30:00","obsr191941","S5227139","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"","",-68.1897354,44.3547872,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS73472678","2011-07-21 17:25:44",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Precipice Trail","L476591","H","2009-08-01","08:00:00","obsr191862","S5225767","Area","P23","EBIRD",60,NA,6.0703,NA,1,"",0,1,0,NA,"","",-68.1897354,44.3547872,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS103225808","2011-07-21 17:25:27",687,"species","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Schoodic Peninsula","L476611","H","2010-01-02","10:00:00","obsr231067","S7248956","Area","P23","EBIRD",180,NA,8.0937,2,1,"",0,1,0,NA,"","",-68.0582428,44.3403019,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS101322835","2021-04-01 06:49:52.016996",687,"species","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Schoodic Peninsula","L476611","H","2010-02-27","11:30:00","obsr106420","S7104474","Traveling","P22","EBIRD",360,24.14,NA,3,1,"",0,1,0,NA,"Weather conditions: following several days of rain and northeasterly winds; cloudy with temps in the 40's","2 males above Blueberry Hill pulloff",-68.0582428,44.3403019,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS101322851","2021-04-01 06:49:52.016996",6372,"species","avibase-64F4DD81","Razorbill","Alca torda","","",NA,"3","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Schoodic Peninsula","L476611","H","2010-02-27","11:30:00","obsr106420","S7104474","Traveling","P22","EBIRD",360,24.14,NA,3,1,"",0,1,0,NA,"Weather conditions: following several days of rain and northeasterly winds; cloudy with temps in the 40's","3+ flyby's (one landed on water in front of us) at Schoodic Point",-68.0582428,44.3403019,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS87141919","2010-03-25 11:08:42",687,"species","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","","",NA,"12","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Schoodic Point","L865421","H","2010-03-07","13:30:00","obsr210427","S6101589","Traveling","P22","EBIRD",120,4.828,NA,2,1,"",0,1,0,NA,"Numbers of each species are approximate.  Especially on the Herring Gulls","",-68.0603456,44.3324746,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS103428857","2018-08-05 11:37:31",687,"species","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","","",NA,"4","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Great Head, Acadia NP, ME","L1043434","P","2010-04-13","09:00:00","obsr228145","S7264047","Traveling","P22","EBIRD",180,6.437,NA,2,1,"",0,1,0,NA,"","",-68.1766891,44.328269,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS103433980","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2010-05-26","07:30:00","obsr228145","S7264470","Traveling","P22","EBIRD",180,12.874,NA,10,1,"",0,1,0,NA,"Tony''s birdwalk, starting at Sieur de Mont Springs, going to Beaver Pond and Precipice.","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS94526583","2010-06-27 15:47:10",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia National Park","L940751","P","2010-05-21","11:00:00","obsr223653","S6581026","Stationary","P21","EBIRD",15,NA,NA,NA,1,"",0,1,0,NA,"","",-68.2460403,44.3323825,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS1218681221","2023-09-20 11:02:33.568472",6339,"species","avibase-2771624B","Atlantic Puffin","Fratercula arctica","","",NA,"3","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Otter Point","L781797","H","2010-06-30","11:01:00","obsr686255","S93301412","Traveling","P22","EBIRD",105,8.047,NA,1,1,"",0,1,0,NA,"","",-68.1901217,44.3072668,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS93932999","2021-03-19 06:45:06.768684",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","MDI - southwestern area","L929653","P","2010-06-13","13:00:00","obsr221400","S6537056","Traveling","P22","EBIRD",180,32.186,NA,10,1,"G176489",0,1,0,NA,"Fire roads at base of western mountains, Bass harbor Marsh off 102A, and Seawall Rd from SW Harbor to Bass Harbor.  Michael Good and Becky Marvil leading (van trip).","",-68.3553886,44.2781461,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS94328813","2018-08-06 19:46:32",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","ME, Acadia National Park","L937286","P","2010-06-20","08:00:00","obsr161281","S6566450","Traveling","P22","EBIRD",480,32.186,NA,2,1,"",0,1,0,NA,"Observations were made at Sieur de Mot, Sandy Beach, Otter Cliffs, Jordan Pond, Carriage trails behind Jordan Pond, Seawall, Wonderland and Ships Harbor trails, Cadillac Mt. and Pretty Marsh","",-68.2759094,44.357733,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS1041615080","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2010-06-29","","obsr330749","S78442180","Historical","P62","EBIRD",NA,NA,NA,5,0,"G7572611",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS1301099242","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2010-06-29","","obsr2848130","S99295953","Historical","P62","EBIRD",NA,NA,NA,5,0,"G7572611",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS94997366","2018-08-06 19:46:31",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP - Beehive/Bowl Trail Loop","L951536","P","2010-06-16","15:00:00","obsr206932","S6619499","Traveling","P22","EBIRD",75,2.092,NA,2,1,"",0,1,0,NA,"","soaring at eye-level at the summit of the Beehive (~520ft elevation)",-68.1883192,44.3331807,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS94086645","2021-03-19 06:45:06.768684",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","MDI - southwestern area","L929653","P","2010-06-13","13:00:00","obsr132390","S6549170","Traveling","P22","EBIRD",180,32.186,NA,10,1,"G176489",0,1,0,NA,"Fire roads at base of western mountains, Bass harbor Marsh off 102A, and Seawall Rd from SW Harbor to Bass Harbor.  Michael Good and Becky Marvil leading (van trip).","",-68.3553886,44.2781461,"state endangered"
